Timestamp; Table Name; Topic Name; Value
1678668453655; SmartDashboard; Target ID; 2
1678668453654; limelight; botpose; [5.8411419592260145, -0.5292322482049564, 0.3753884116328916, 2.453284761825625, 1.0443249841996805, -16.059424273918967]
1678668453654; SmartDashboard; Pose (Estimated); (5.840, -0.529, -16.1 degrees)
1678668453655; SmartDashboard; Pose (LimeLight); (5.841, -0.529, -16.1 degrees)
1678668453655; SmartDashboard; Wheel Encoder Positions; (0.000, 0.000)
1678668453773; limelight; botpose; [5.840551708625362, -0.529401236315514, 0.37563100690763584, 2.2450486386733814, 1.0889620545330303, -16.055441089319494]
1678668453844; limelight; botpose; [5.83873565261541, -0.5313512221514691, 0.3720754379681513, 2.4574687793628756, 0.9199772351313871, -15.953146430914881]
1678668453844; SmartDashboard; Pose (LimeLight); (5.839, -0.531, -16.0 degrees)
1678668453844; SmartDashboard; Pose (Estimated); (5.840, -0.529, -16.0 degrees)
1678668453944; limelight; botpose; [5.839981452619247, -0.529191053621239, 0.3769961552956353, 2.345179407420316, 1.1189845947287143, -16.050458184382766]
1678668453944; SmartDashboard; Pose (LimeLight); (5.840, -0.529, -16.1 degrees)
1678668454053; limelight; botpose; [5.847937679147291, -0.5182364005586053, 0.38513658699454456, 2.2997602034566604, 1.427709039681662, -16.53354014143182]
1678668454053; SmartDashboard; Pose (LimeLight); (5.843, -0.526, -16.2 degrees)
1678668454053; SmartDashboard; Pose (Estimated); (5.840, -0.529, -16.1 degrees)
1678668454144; SmartDashboard; Pose (LimeLight); (5.851, -0.514, -16.7 degrees)
1678668454145; SmartDashboard; Pose (Estimated); (5.841, -0.528, -16.1 degrees)
1678668454145; limelight; botpose; [5.85149627711369, -0.5144311383403823, 0.36445633278580497, 2.3223507954525915, 0.6588940367435521, -16.697959256771416]
1678668454245; SmartDashboard; Pose (Estimated); (5.842, -0.526, -16.2 degrees)
1678668454245; limelight; botpose; [5.846413588209453, -0.5214337322296927, 0.3790150924148684, 2.3148257440684445, 1.1989595697057536, -16.399368746355126]
1678668454246; SmartDashboard; Pose (LimeLight); (5.846, -0.521, -16.4 degrees)
1678668454349; limelight; botpose; [5.8326644746243375, -0.5375995919164779, 0.39019904730644667, 2.2917440197348267, 1.627101062912025, -15.673760130311953]
1678668454350; SmartDashboard; Pose (LimeLight); (5.833, -0.538, -15.7 degrees)
1678668454350; SmartDashboard; Pose (Estimated); (5.841, -0.527, -16.1 degrees)
1678668454444; limelight; botpose; [5.842985326661429, -0.5287701127376946, 0.37053707206452596, 2.420458388682497, 0.8668723613846948, -16.094533519601683]
1678668454444; SmartDashboard; Pose (LimeLight); (5.843, -0.529, -16.1 degrees)
1678668454444; SmartDashboard; Pose (Estimated); (5.842, -0.527, -16.1 degrees)
1678668454543; limelight; botpose; [5.8474383787717965, -0.5205832732430395, 0.37076670562850383, 2.3336290945284905, 0.8966448969066046, -16.441762562116114]
1678668454544; SmartDashboard; Pose (LimeLight); (5.847, -0.521, -16.4 degrees)
1678668454544; SmartDashboard; Pose (Estimated); (5.842, -0.527, -16.2 degrees)
1678668454644; limelight; botpose; [5.844695967599263, -0.5269121557000117, 0.3778072256525425, 2.215047989475379, 1.1677046488060248, -16.19669965051202]
1678668454644; SmartDashboard; Pose (LimeLight); (5.845, -0.527, -16.2 degrees)
1678668454744; limelight; botpose; [5.839549228212994, -0.529155959421954, 0.3800245768007025, 2.381206817661514, 1.2274676895018228, -16.041612604357177]
1678668454744; SmartDashboard; Pose (LimeLight); (5.840, -0.529, -16.0 degrees)
1678668454744; SmartDashboard; Pose (Estimated); (5.842, -0.527, -16.1 degrees)
1678668454844; SmartDashboard; Pose (Estimated); (5.842, -0.527, -16.2 degrees)
1678668454845; limelight; botpose; [5.8485511219477075, -0.5197962425912138, 0.3746165140471748, 2.330285106787551, 1.0308743886188052, -16.479489566654625]
1678668454845; SmartDashboard; Pose (LimeLight); (5.849, -0.520, -16.5 degrees)
1678668454955; limelight; botpose; [5.846450019205618, -0.5242466893623017, 0.3666517687929235, 2.440493160857316, 0.7174029947787856, -16.29600273465394]
1678668454956; SmartDashboard; Pose (LimeLight); (5.846, -0.524, -16.3 degrees)
1678668454956; SmartDashboard; Pose (Estimated); (5.843, -0.527, -16.2 degrees)
1678668455045; limelight; botpose; [5.840987305487986, -0.5292881199883182, 0.3888180165834915, 2.3095270859666694, 1.5640121622475642, -16.06346112386484]
1678668455045; SmartDashboard; Pose (LimeLight); (5.841, -0.529, -16.1 degrees)
1678668455147; limelight; botpose; [5.850021597677851, -0.5183311548893483, 0.37428599795040196, 2.338846266451496, 1.0161167978073766, -16.554320256267204]
1678668455147; SmartDashboard; Pose (LimeLight); (5.850, -0.518, -16.6 degrees)
